name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
d2l-ai/d2l-zh,dias desde o último push,751.0,acima,extremo,1.0,Python,
karpathy/LLM101n,dias desde o último push,749.0,acima,extremo,1.0,,
BVLC/caffe,dias desde o último push,749.0,acima,extremo,1.0,C++,
mckaywrigley/chatbot-ui,dias desde o último push,747.0,acima,extremo,1.0,TypeScript,
CMU-Perceptual-Computing-Lab/openpose,dias desde o último push,747.0,acima,extremo,1.0,C++,
lydiahallie/javascript-questions,dias desde o último push,746.0,acima,extremo,1.0,,
xinntao/Real-ESRGAN,dias desde o último push,744.0,acima,extremo,1.0,Python,
GorvGoyl/Clone-Wars,dias desde o último push,744.0,acima,extremo,1.0,,
kelseyhightower/nocode,dias desde o último push,743.0,acima,extremo,1.0,Dockerfile,
bilibili/ijkplayer,dias desde o último push,737.0,acima,extremo,1.0,C,
FiloSottile/mkcert,dias desde o último push,737.0,acima,extremo,1.0,Go,
karan/Projects,dias desde o último push,736.0,acima,extremo,1.0,,
unknwon/the-way-to-go_ZH_CN,dias desde o último push,736.0,acima,extremo,1.0,Go,
nodejs/node-v0.x-archive,dias desde o último push,735.0,acima,extremo,1.0,,
Blankj/AndroidUtilCode,dias desde o último push,735.0,acima,extremo,1.0,Java,
coqui-ai/TTS,dias desde o último push,734.0,acima,extremo,1.0,Python,
open-guides/og-aws,dias desde o último push,734.0,acima,extremo,1.0,Shell,
LAION-AI/Open-Assistant,dias desde o último push,733.0,acima,extremo,1.0,Python,
alex/what-happens-when,dias desde o último push,731.0,acima,extremo,1.0,,
suno-ai/bark,dias desde o último push,731.0,acima,extremo,1.0,Jupyter Notebook,
freefq/free,dias desde o último push,730.0,acima,extremo,1.0,,
ElemeFE/element,dias desde o último push,730.0,acima,extremo,1.0,Vue,
CyC2018/CS-Notes,dias desde o último push,729.0,acima,extremo,1.0,,
kilimchoi/engineering-blogs,dias desde o último push,729.0,acima,extremo,1.0,Ruby,
fxsjy/jieba,dias desde o último push,729.0,acima,extremo,1.0,Python,
lencx/ChatGPT,dias desde o último push,721.0,acima,extremo,1.0,Rust,
xai-org/grok-1,dias desde o último push,720.0,acima,extremo,1.0,Python,
vitejs/vite,releases,714.0,acima,extremo,39.0,TypeScript,
ibraheemdev/modern-unix,dias desde o último push,709.0,acima,extremo,1.0,,
facebookresearch/segment-anything,dias desde o último push,701.0,acima,extremo,1.0,Jupyter Notebook,
puppeteer/puppeteer,releases,701.0,acima,extremo,39.0,TypeScript,
angular/angular,releases,693.0,acima,extremo,39.0,TypeScript,
coollabsio/coolify,releases,692.0,acima,extremo,39.0,PHP,
vuejs/vue,dias desde o último push,679.0,acima,extremo,1.0,TypeScript,
vuetifyjs/vuetify,releases,675.0,acima,extremo,39.0,TypeScript,
remotion-dev/remotion,releases,673.0,acima,extremo,39.0,TypeScript,
PanJiaChen/vue-element-admin,dias desde o último push,665.0,acima,extremo,1.0,Vue,
DovAmir/awesome-design-patterns,dias desde o último push,664.0,acima,extremo,1.0,,
alibaba/easyexcel,dias desde o último push,660.0,acima,extremo,1.0,Java,
langfuse/langfuse,releases,658.0,acima,extremo,39.0,TypeScript,
apachecn/ailearning,dias desde o último push,646.0,acima,extremo,1.0,Python,
grafana/grafana,releases,640.0,acima,extremo,39.0,TypeScript,
remix-run/remix,releases,639.0,acima,extremo,39.0,TypeScript,
trimstray/the-book-of-secret-knowledge,dias desde o último push,639.0,acima,extremo,1.0,,
sveltejs/svelte,releases,636.0,acima,extremo,39.0,JavaScript,
Semantic-Org/Semantic-UI,dias desde o último push,631.0,acima,extremo,1.0,JavaScript,
nilbuild/design-patterns-for-humans,dias desde o último push,626.0,acima,extremo,1.0,,
react-hook-form/react-hook-form,releases,618.0,acima,extremo,39.0,TypeScript,
httpie/cli,dias desde o último push,611.0,acima,extremo,1.0,Python,
calcom/cal.diy,releases,611.0,acima,extremo,39.0,TypeScript,
ToolJet/ToolJet,releases,596.0,acima,extremo,39.0,JavaScript,
shadowsocks/shadowsocks-windows,dias desde o último push,596.0,acima,extremo,1.0,C#,
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,dias desde o último push,596.0,acima,extremo,1.0,JavaScript,
